dt	dushikou	gangfangyao	maying	maoyupu	hulonggou	yunzhousk	zhenanpu	zhenningpu	yangtian	zhuanlou	paoliang	longguan	tianjiayao	dongshanmiao	diaoe	shangzhuangzi	nanbuzi	xiapu	baihepu	wanquansi	shicao	qianjiadian	heilongshan	qingyanggou	baichao	sidaogou	dongwankou	qiansongtai	hedaziying	dongmao	sandaoying	sihai	baoshansi	daodekeng	dengjiashanzi	sandaohe	labagoumen	xiaoliangqian	changshaoying	tanghekou	qifengcha	liulimiao	zhangjiafen
1990-4-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
1990-4-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-17	0	0	0.7	0.3	0.2	1.9	0.7	4.3	3.3	5.6	3.9	2.8	2.4	1.5	1.3	9.6	5.8	2.1	6.2	4.2	5.4	0.3	0.7	3.0	1.2	2.6	3.5	3.3	4.0	1.8	4.6	5.0	0	2.8	2.1	1.1	0	2.2	1.8	2.7	0	0	4.2
1990-4-18	6.8	9.8	10.3	8.3	5.8	6.8	6.5	6.4	6.8	4.6	3.5	7.9	5.0	6.2	5.7	6.5	9.1	4.9	2.8	6.7	5.4	2.9	12.5	8.0	5.8	6.0	5.0	7.8	5.0	4.7	3.5	3.5	0	4.2	3.7	6.3	8.2	6.1	9.8	4.1	0	0	4.0
1990-4-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	2.2	0	0	0	1.4	0.9	3.0	0	4.0	3.2
1990-4-20	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	3.3	5.0	2.5	1.6	1.2	1.4	5.0	1.9	1.6	6.3	0	0	0	0	0	0	0	0	0	2.8	0
1990-4-21	0.2	0.2	0	0	1.9	0.2	0	0	2.3	4.3	5.2	2.5	1.8	2.8	1.4	2.5	1.5	4.4	6.3	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	1.2	1.3	2.6	0	0	0	0	0	0
1990-4-22	0	0	0	0	0.2	0	0.8	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-29	0	1.5	0.6	0.4	0	0	0	0	0	2.4	2.8	1.5	4.6	0.8	0	0	0	0.9	0.3	1.3	5.2	0	0	1.0	0	0	0	3.6	0	0.6	0	0	0	0.6	0	0	0	0	0	1.0	0	0	0.4
